author_name,ticker_name,category,line_item,cal_year,period,estimate_actual,item_value,last_refresh
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,Revenue,2018,FY,Actual,91.867,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,Revenue,2019,FY,Actual,112.103,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,Revenue,2020,FY,Actual,152.368,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,Revenue,2021,FY,Estimate,197.53843033735333,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,Revenue,2022,FY,Estimate,254.7535894272923,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,Revenue,2023,FY,Estimate,318.9550220720406,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,Revenue,2024,FY,Estimate,391.7673651470752,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,COGS (ex D&A),2018,FY,Actual,21.937,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,COGS (ex D&A),2019,FY,Actual,27.023,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,COGS (ex D&A),2020,FY,Actual,34.126,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,COGS (ex D&A),2021,FY,Estimate,46.816607989952736,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,COGS (ex D&A),2022,FY,Estimate,58.020129992065826,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,COGS (ex D&A),2023,FY,Estimate,69.69167232274089,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,COGS (ex D&A),2024,FY,Estimate,81.97732115702551,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,OpEx (ex COGS),2018,FY,Actual,85.973,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,OpEx (ex COGS),2019,FY,Actual,99.04400000000001,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,OpEx (ex COGS),2020,FY,Actual,122.81299999999999,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,OpEx (ex COGS),2021,FY,Estimate,139.06705495749674,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,OpEx (ex COGS),2022,FY,Estimate,163.16967402818074,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,OpEx (ex COGS),2023,FY,Estimate,184.03704773556743,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,OpEx (ex COGS),2024,FY,Estimate,201.17254200302307,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,EBITDA,2018,FY,Actual,-27.638999999999996,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,EBITDA,2019,FY,Actual,-38.418,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,EBITDA,2020,FY,Actual,-35.613,2023-05-15 01:53:20.221888
varun.pillai@tresvista.com,BIGC US Equity,Income Statement Inputs,EBITDA,2021,FY,Estimate,-32.31724060004886,2023-05-15 01:53:20.221888
